1,0601102F,Defense Research Sciences,01,373151,Basic Research
2,0601103F,University Research Initiatives,01,138333,Basic Research
3,0601108F,High Energy Laser Research Initiatives,01,13286,Basic Research
4,0602102F,Materials,02,116846,Applied Research
5,0602201F,Aerospace Vehicle Technologies,02,119672,Applied Research
6,0602202F,Human Effectiveness Applied Research,02,89483,Applied Research
7,0602203F,Aerospace Propulsion,02,197546,Applied Research
8,0602204F,Aerospace Sensors,02,127539,Applied Research
9,0602601F,Space Technology,02,104063,Applied Research
10,0602602F,Conventional Munitions,02,81521,Applied Research
11,0602605F,Directed Energy Technology,02,112845,Applied Research
12,0602788F,Dominant Information Sciences and Methods,02,138161,Applied Research
13,0602890F,High Energy Laser Research,02,40217,Applied Research
14,0603112F,Advanced Materials for Weapon Systems,03,39572,Advanced Technology Development
15,0603199F,Sustainment Science and Technology (S&T),03,12800,Advanced Technology Development
16,0603203F,Advanced Aerospace Sensors,03,30579,Advanced Technology Development
17,0603211F,Aerospace Technology Dev/Demo,03,77347,Advanced Technology Development
18,0603216F,Aerospace Propulsion and Power Technology,03,149321,Advanced Technology Development
19,0603270F,Electronic Combat Technology,03,49128,Advanced Technology Development
20,0603401F,Advanced Spacecraft Technology,03,68071,Advanced Technology Development
21,0603444F,Maui Space Surveillance System (MSSS),03,26299,Advanced Technology Development
22,0603456F,Human Effectiveness Advanced Technology Development,03,20967,Advanced Technology Development
23,0603601F,Conventional Weapons Technology,03,33996,Advanced Technology Development
24,0603605F,Advanced Weapons Technology,03,19000,Advanced Technology Development
25,0603680F,Manufacturing Technology Program,03,41353,Advanced Technology Development
26,0603788F,Battlespace Knowledge Development and Demonstration,03,49093,Advanced Technology Development
28,0603260F,Intelligence Advanced Development,04,3983,Advanced Component Development & Prototypes
29,0603287F,Physical Security Equipment,04,3874,Advanced Component Development & Prototypes
32,0603438F,Space Control Technology,04,27024,Advanced Component Development & Prototypes
33,0603742F,Combat Identification Technology,04,15899,Advanced Component Development & Prototypes
34,0603790F,NATO Research and Development,04,4568,Advanced Component Development & Prototypes
35,0603791F,International Space Cooperative R&D,04,379,Advanced Component Development & Prototypes
36,0603830F,Space Protection Program (SPP),04,28764,Advanced Component Development & Prototypes
38,0603851F,Intercontinental Ballistic Missile - Dem/Val,04,86737,Advanced Component Development & Prototypes
40,0603859F,Pollution Prevention - Dem/Val,04,953,Advanced Component Development & Prototypes
42,0604015F,Long Range Strike,04,379437,Advanced Component Development & Prototypes
44,0604317F,Technology Transfer,04,2606,Advanced Component Development & Prototypes
45,0604327F,Hard and Deeply Buried Target Defeat System (HDBTDS) Program,04,103,Advanced Component Development & Prototypes
47,0604337F,Requirements Analysis and Maturation,04,16018,Advanced Component Development & Prototypes
49,0604458F,Air & Space Ops Center,04,58861,Advanced Component Development & Prototypes
50,0604618F,Joint Direct Attack Munition,04,2500,Advanced Component Development & Prototypes
51,0604635F,Ground Attack Weapons Fuze Development,04,21175,Advanced Component Development & Prototypes
