1,0601101A,In-House Laboratory Independent Research,01,21803,Basic Research
2,0601102A,Defense Research Sciences,01,221901,Basic Research
3,0601103A,University Research Initiatives,01,79359,Basic Research
4,0601104A,University and Industry Research Centers,01,113662,Basic Research
5,0602105A,Materials Technology,02,26585,Applied Research
6,0602120A,Sensors and Electronic Survivability,02,43170,Applied Research
7,0602122A,TRACTOR HIP,02,36293,Applied Research
8,0602211A,Aviation Technology,02,55615,Applied Research
9,0602270A,Electronic Warfare Technology,02,17585,Applied Research
10,0602303A,Missile Technology,02,51528,Applied Research
11,0602307A,Advanced Weapons Technology,02,26162,Applied Research
12,0602308A,Advanced Concepts and Simulation,02,24063,Applied Research
13,0602601A,Combat Vehicle and Automotive Technology,02,64589,Applied Research
14,0602618A,Ballistics Technology,02,68300,Applied Research
15,0602622A,Chemical Smoke and Equipment Defeating Technology,02,4490,Applied Research
16,0602623A,Joint Service Small Arms Program,02,7818,Applied Research
17,0602624A,Weapons and Munitions Technology,02,37798,Applied Research
18,0602705A,Electronics and Electronic Devices,02,59021,Applied Research
19,0602709A,Night Vision Technology,02,43426,Applied Research
20,0602712A,Countermine Systems,02,20574,Applied Research
21,0602716A,Human Factors Engineering Technology,02,21339,Applied Research
22,0602720A,Environmental Quality Technology,02,20316,Applied Research
23,0602782A,Command Control Communications Technology,02,34209,Applied Research
24,0602783A,Computer and Software Technology,02,10439,Applied Research
25,0602784A,Military Engineering Technology,02,70064,Applied Research
26,0602785A,Manpower/Personnel/Training Technology,02,17654,Applied Research
27,0602786A,Warfighter Technology,02,31546,Applied Research
28,0602787A,Medical Technology,02,93340,Applied Research
29,0603001A,Warfighter Advanced Technology,03,56056,Advanced Technology Development
30,0603002A,Medical Advanced Technology,03,62032,Advanced Technology Development
31,0603003A,Aviation Advanced Technology,03,81080,Advanced Technology Development
32,0603004A,Weapons and Munitions Advanced Technology,03,63919,Advanced Technology Development
33,0603005A,Combat Vehicle and Automotive Advanced Technology,03,97043,Advanced Technology Development
34,0603006A,Space Application Advanced Technology,03,5866,Advanced Technology Development
35,0603007A,Manpower Personnel and Training Advanced Technology,03,7800,Advanced Technology Development
36,0603008A,Electronic Warfare Advanced Technology,03,40416,Advanced Technology Development
37,0603009A,TRACTOR HIKE,03,9166,Advanced Technology Development
38,0603015A,Next Generation Training & Simulation Systems,03,13627,Advanced Technology Development
39,0603020A,TRACTOR ROSE,03,10667,Advanced Technology Development
41,0603125A,Combating Terrorism - Technology Development,03,15054,Advanced Technology Development
42,0603130A,TRACTOR NAIL,03,3194,Advanced Technology Development
43,0603131A,TRACTOR EGGS,03,2367,Advanced Technology Development
44,0603270A,Electronic Warfare Technology,03,25348,Advanced Technology Development
45,0603313A,Missile and Rocket Advanced Technology,03,64009,Advanced Technology Development
46,0603322A,TRACTOR CAGE,03,11083,Advanced Technology Development
47,0603461A,High Performance Computing Modernization Program,03,180662,Advanced Technology Development
48,0603606A,Landmine Warfare and Barrier Advanced Technology,03,22806,Advanced Technology Development
49,0603607A,Joint Service Small Arms Program,03,5030,Advanced Technology Development
50,0603710A,Night Vision Advanced Technology,03,36407,Advanced Technology Development
51,0603728A,Environmental Quality Technology Demonstrations,03,11745,Advanced Technology Development
52,0603734A,Military Engineering Advanced Technology,03,23717,Advanced Technology Development
53,0603772A,Advanced Tactical Computer Science and Sensor Technology,03,33012,Advanced Technology Development
54,0603305A,Army Missle Defense Systems Integration,04,15301,Advanced Component Development & Prototypes
55,0603308A,Army Space Systems Integration,04,13592,Advanced Component Development & Prototypes
56,0603619A,Landmine Warfare and Barrier - Adv Dev,04,10625,Advanced Component Development & Prototypes
58,0603639A,Tank and Medium Caliber Ammunition,04,30612,Advanced Component Development & Prototypes
59,0603653A,Advanced Tank Armament System (ATAS),04,49989,Advanced Component Development & Prototypes
60,0603747A,Soldier Support and Survivability,04,6703,Advanced Component Development & Prototypes
61,0603766A,Tactical Electronic Surveillance System - Adv Dev,04,6894,Advanced Component Development & Prototypes
62,0603774A,Night Vision Systems Advanced Development,04,9066,Advanced Component Development & Prototypes
63,0603779A,Environmental Quality Technology - Dem/Val,04,2633,Advanced Component Development & Prototypes
64,0603782A,Warfighter Information Network-Tactical - DEM/VAL,04,272384,Advanced Component Development & Prototypes
65,0603790A,NATO Research and Development,04,3874,Advanced Component Development & Prototypes
66,0603801A,Aviation - Adv Dev,04,5018,Advanced Component Development & Prototypes
67,0603804A,Logistics and Engineer Equipment - Adv Dev,04,11556,Advanced Component Development & Prototypes
69,0603807A,Medical Systems - Adv Dev,04,15603,Advanced Component Development & Prototypes
70,0603827A,Soldier Systems - Advanced Development,04,14159,Advanced Component Development & Prototypes
71,0603850A,Integrated Broadcast Service,04,79,Advanced Component Development & Prototypes
72,0604115A,Technology Maturation Initiatives,04,55605,Advanced Component Development & Prototypes
74,0604319A,Indirect Fire Protection Capability Increment 2-Intercept,04,79232,Advanced Component Development & Prototypes
75,0604785A,Integrated Base Defense (Budget Activity 4),04,4476,Advanced Component Development & Prototypes
76,0305205A,Endurance UAVs,04,28991,Advanced Component Development & Prototypes
77,0604201A,Aircraft Avionics,05,76588,System Development & Demonstration
78,0604220A,Armed Deployable Helos,05,73309,System Development & Demonstration
79,0604270A,Electronic Warfare Development,05,154621,System Development & Demonstration
80,0604280A,Joint Tactical Radio,05,31826,System Development & Demonstration
81,0604290A,Mid-tier Networking Vehicular Radio (MNVR),05,23341,System Development & Demonstration
82,0604321A,All Source Analysis System,05,4839,System Development & Demonstration
83,0604328A,TRACTOR CAGE,05,23841,System Development & Demonstration
