3,0601110D8Z,Basic Research Initiatives,01,11171,Basic Research
5,0601120D8Z,National Defense Education Program,01,84271,Basic Research
6,0601228D8Z,Historically Black Colleges and Universities/Minority Institutions,01,30895,Basic Research
8,0602000D8Z,Joint Munitions Technology,02,20065,Applied Research
11,0602234D8Z,Lincoln Laboratory Research Program,02,46875,Applied Research
13,0602251D8Z,Applied Research for the Advancement of S&T Priorities,02,45000,Applied Research
20,0602668D8Z,Cyber Security Research,02,18908,Applied Research
26,0602751D8Z,Software Engineering Institute (SEI) Applied Research,02,11107,Applied Research
28,0603000D8Z,Joint Munitions Advanced Technology,03,26646,Advanced Technology Development
29,0603121D8Z,SO/LIC Advanced Development,03,19420,Advanced Technology Development
30,0603122D8Z,Combating Terrorism Technology Support,03,77792,Advanced Technology Development
34,0603225D8Z,Joint DoD-DoE Munitions Technology Development,03,19305,Advanced Technology Development
40,0603618D8Z,Joint Electronic Advanced Technology,03,9009,Advanced Technology Development
41,0603648D8Z,Joint Capability Technology Demonstrations,03,174428,Advanced Technology Development
42,0603662D8Z,Networked Communications Capabilities,03,20000,Advanced Technology Development
45,0603668D8Z,Cyber Security Advanced Research,03,19668,Advanced Technology Development
47,0603680D8Z,Defense-Wide Manufacturing Science and Technology Program,03,34041,Advanced Technology Development
48,0603699D8Z,Emerging Capabilities Technology Development,03,61971,Advanced Technology Development
52,0603716D8Z,Strategic Environmental Research Program,03,72324,Advanced Technology Development
54,0603727D8Z,Joint Warfighting Program,03,8431,Advanced Technology Development
62,0603781D8Z,Software Engineering Institute,03,19008,Advanced Technology Development
63,0603826D8Z,Quick Reaction Special Projects,03,78532,Advanced Technology Development
66,0603832D8Z,DoD Modeling and Simulation Management Office,03,41370,Advanced Technology Development
69,0603941D8Z,Test & Evaluation Science & Technology,03,92508,Advanced Technology Development
70,0604055D8Z,Operational Energy Capability Improvement,03,52001,Advanced Technology Development
71,0303310D8Z,CWMD Systems,03,52053,Advanced Technology Development
75,0603161D8Z,Nuclear and Conventional Physical Security Equipment RDT&E ADC&P,04,63641,Advanced Component Development And Prototypes
76,0603527D8Z,RETRACT LARCH,04,19152,Advanced Component Development And Prototypes
77,0603600D8Z,WALKOFF,04,70763,Advanced Component Development And Prototypes
79,0603714D8Z,Advanced Sensors Application Program,04,17230,Advanced Component Development And Prototypes
80,0603851D8Z,Environmental Security Technical Certification Program,04,71453,Advanced Component Development And Prototypes
99,0603920D8Z,Humanitarian Demining,04,11704,Advanced Component Development And Prototypes
100,0603923D8Z,Coalition Warfare,04,9842,Advanced Component Development And Prototypes
101,0604016D8Z,Department of Defense Corrosion Program,04,3312,Advanced Component Development And Prototypes
102,0604250D8Z,Advanced Innovative Technologies,04,130000,Advanced Component Development And Prototypes
103,0604400D8Z,Department of Defense (DoD) Unmanned Aircraft System (UAS) Common Development,04,8300,Advanced Component Development And Prototypes
115,0303191D8Z,Joint Electromagnetic Technology (JET) Program,04,3169,Advanced Component Development And Prototypes
118,0604161D8Z,Nuclear and Conventional Physical Security Equipment RDT&E SDD,05,8155,System Development And Demonstration
119,0604165D8Z,Prompt Global Strike Capability Development,05,65440,System Development And Demonstration
123,0604771D8Z,Joint Tactical Information Distribution System (JTIDS),05,19475,System Development And Demonstration
127,0605022D8Z,Defense Exportability Program,05,3763,System Development And Demonstration
128,0605027D8Z,OUSD(C) IT Development Initiatives,05,6788,System Development And Demonstration
130,0605075D8Z,DCMO Policy and Integration,05,22297,System Development And Demonstration
132,0605210D8Z,Defense-Wide Electronic Procurement Capabilities,05,6184,System Development And Demonstration
134,0305304D8Z,DoD Enterprise Energy Information Management (EEIM),05,3302,System Development And Demonstration
