2040A, Army,ARMY,01,Basic Research,1   ,0601101A,In-House Laboratory Independent Research,Y,13018,U
2040A, Army,ARMY,01,Basic Research,2   ,0601102A,Defense Research Sciences,Y,239118,U
2040A, Army,ARMY,01,Basic Research,3   ,0601103A,University Research Initiatives,Y,72603,U
2040A, Army,ARMY,01,Basic Research,4   ,0601104A,University and Industry Research Centers,Y,100340,U
2040A, Army,ARMY,02,Applied Research,5   ,0602105A,Materials Technology,Y,28314,U
2040A, Army,ARMY,02,Applied Research,6   ,0602120A,Sensors and Electronic Survivability,Y,38374,U
2040A, Army,ARMY,02,Applied Research,7   ,0602122A,TRACTOR HIP,Y,6879,U
2040A, Army,ARMY,02,Applied Research,8   ,0602211A,Aviation Technology,Y,56884,U
2040A, Army,ARMY,02,Applied Research,9   ,0602270A,Electronic Warfare Technology,Y,19243,U
2040A, Army,ARMY,02,Applied Research,10  ,0602303A,Missile Technology,Y,45053,U
2040A, Army,ARMY,02,Applied Research,11  ,0602307A,Advanced Weapons Technology,Y,29428,U
2040A, Army,ARMY,02,Applied Research,12  ,0602308A,Advanced Concepts and Simulation,Y,27862,U
2040A, Army,ARMY,02,Applied Research,13  ,0602601A,Combat Vehicle and Automotive Technology,Y,68839,U
2040A, Army,ARMY,02,Applied Research,14  ,0602618A,Ballistics Technology,Y,92801,U
2040A, Army,ARMY,02,Applied Research,15  ,0602622A,Chemical Smoke and Equipment Defeating Technology,Y,3866,U
2040A, Army,ARMY,02,Applied Research,16  ,0602623A,Joint Service Small Arms Program,Y,5487,U
2040A, Army,ARMY,02,Applied Research,17  ,0602624A,Weapons and Munitions Technology,Y,48340,U
2040A, Army,ARMY,02,Applied Research,18  ,0602705A,Electronics and Electronic Devices,Y,55301,U
2040A, Army,ARMY,02,Applied Research,19  ,0602709A,Night Vision Technology,Y,33807,U
2040A, Army,ARMY,02,Applied Research,20  ,0602712A,Countermine Systems,Y,25068,U
2040A, Army,ARMY,02,Applied Research,21  ,0602716A,Human Factors Engineering Technology,Y,23681,U
2040A, Army,ARMY,02,Applied Research,22  ,0602720A,Environmental Quality Technology,Y,20850,U
2040A, Army,ARMY,02,Applied Research,23  ,0602782A,Command Control Communications Technology,Y,36160,U
2040A, Army,ARMY,02,Applied Research,24  ,0602783A,Computer and Software Technology,Y,12656,U
2040A, Army,ARMY,02,Applied Research,25  ,0602784A,Military Engineering Technology,Y,63409,U
2040A, Army,ARMY,02,Applied Research,26  ,0602785A,Manpower/Personnel/Training Technology,Y,24735,U
2040A, Army,ARMY,02,Applied Research,27  ,0602786A,Warfighter Technology,Y,35795,U
2040A, Army,ARMY,02,Applied Research,28  ,0602787A,Medical Technology,Y,76853,U
2040A, Army,ARMY,03,Advanced Technology Development,29  ,0603001A,Warfighter Advanced Technology,Y,46973,U
2040A, Army,ARMY,03,Advanced Technology Development,30  ,0603002A,Medical Advanced Technology,Y,69584,U
2040A, Army,ARMY,03,Advanced Technology Development,31  ,0603003A,Aviation Advanced Technology,Y,89736,U
2040A, Army,ARMY,03,Advanced Technology Development,32  ,0603004A,Weapons and Munitions Advanced Technology,Y,57663,U
2040A, Army,ARMY,03,Advanced Technology Development,33  ,0603005A,Combat Vehicle and Automotive Advanced Technology,Y,113071,U
2040A, Army,ARMY,03,Advanced Technology Development,34  ,0603006A,Space Application Advanced Technology,Y,5554,U
2040A, Army,ARMY,03,Advanced Technology Development,35  ,0603007A,Manpower Personnel and Training Advanced Technology,Y,12636,U
2040A, Army,ARMY,03,Advanced Technology Development,37  ,0603009A,TRACTOR HIKE,Y,7502,U
2040A, Army,ARMY,03,Advanced Technology Development,38  ,0603015A,Next Generation Training & Simulation Systems,Y,17425,U
2040A, Army,ARMY,03,Advanced Technology Development,39  ,0603020A,TRACTOR ROSE,Y,11912,U
2040A, Army,ARMY,03,Advanced Technology Development,40  ,0603125A,Combating Terrorism - Technology Development,Y,27520,U
2040A, Army,ARMY,03,Advanced Technology Development,41  ,0603130A,TRACTOR NAIL,Y,2381,U
2040A, Army,ARMY,03,Advanced Technology Development,42  ,0603131A,TRACTOR EGGS,Y,2431,U
2040A, Army,ARMY,03,Advanced Technology Development,43  ,0603270A,Electronic Warfare Technology,Y,26874,U
